RUN	api.CombinedSimulations	combinedsimulations	1638907423554	 	3.3.1
REQUEST	8		FooList	1638907436051	1638907496052	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to app.example.org/1.2.3.4:80 after 60000 ms
USER	FooListSimulation	8	END	1638907436049	1638907496053
REQUEST	11		BarList	1638907436543	1638907496545	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to app.example.org/1.2.3.4:80 after 60000 ms
USER	BarListSimulation	11	END	1638907436540	1638907496545
REQUEST	31		BarList	1638907441544	1638907496989	KO	responseTimeInMillis.find.lessThanOrEqual(5000), 55445 is not less than or equal to 5000
USER	BarListSimulation	31	END	1638907441539	1638907496990
REQUEST	13		FooList	1638907437542	1638907497548	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to app.example.org/1.2.3.4:80 after 60000 ms
USER	FooListSimulation	13	END	1638907437540	1638907497548
REQUEST	18		BarList	1638907438042	1638907498043	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to app.example.org/1.2.3.4:80 after 60000 ms
USER	BarListSimulation	18	END	1638907438040	1638907498044
REQUEST	22		BarList	1638907439042	1638907499043	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to app.example.org/1.2.3.4:80 after 60000 ms
REQUEST	20		FooList	1638907439042	1638907499043	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to app.example.org/1.2.3.4:80 after 60000 ms
USER	BarListSimulation	22	END	1638907439040	1638907499044
USER	FooListSimulation	20	END	1638907439040	1638907499044
REQUEST	48		FooList	1638907446051	1638907499716	KO	responseTimeInMillis.find.lessThanOrEqual(2000), 53665 is not less than or equal to 2000
USER	FooListSimulation	48	END	1638907446049	1638907499716
REQUEST	24		FooList	1638907440042	1638907500043	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to app.example.org/1.2.3.4:80 after 60000 ms
USER	FooListSimulation	24	END	1638907440040	1638907500043
REQUEST	26		BarList	1638907440042	1638907500045	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to app.example.org/1.2.3.4:80 after 60000 ms
USER	BarListSimulation	26	END	1638907440040	1638907500046
